security_code,issuer_name,security_id,security_name,status,group,face_value,isin_no,instrument,load_date,source,data_source
500002,Abb India Limited,ABB,Abb India Ltd,Active,A,2.0,INE117A01022,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500003,Aegis Logistics Ltd.,AEGISLOG,Aegis Logistics Ltd,Active,A,1.0,INE208C01025,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500004,Torrent Power Aec Limited,TPAEC,Torrent Power Aec Ltd,Delisted,B,10.0,INE424A01014,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500005,Akar Laminators Ltd.,AKARLAMIN,Akar Laminators Ltd,Delisted,XD,10.0,INE984C01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500006,Alpha Drugs India Ltd,ALPHADR,Alpha Drug India Ltd,Delisted,B,10.0,INE256B01026,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500008,Amara Raja Energy & Mobility Limited,ARE&M,Amara Raja Energy & Mobility Ltd,Active,A,1.0,INE885A01032,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500009,Ambalal Sarabhai Enterprise Ltd.,AMBALALSA,Ambalal Sarabhai Enterprises Ltd,Active,B,10.0,INE432A01017,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500010,Housing Development Finance Corp.Lt,HDFC,Housing Development Finance Corporation Ltd,Delisted,A,2.0,INE001A01036,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500012,Andhra Petrochemicals Ltd.,ANDHRAPET,Andhra Petrochemicals Ltd,Active,X,10.0,INE714B01016,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,Ansal Properties & Infrastructure Ltd,Active,Z,5.0,INE436A01026,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500014,Utique Enterprises Limited,UTIQUE,Utique Enterprises Ltd,Active,X,10.0,INE096A01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500015,Icici Ltd.,ICICIDM,Icici Ltd,Delisted,B,10.0,INE005A01011,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500016,Aruna Hotels Ltd.,ARUNAHTEL,Aruna Hotels Ltd,Active,X,10.0,INE957C01019,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500018,Arvind Polycot Limited,ARPOLDM,Arpoldm,Delisted,B,10.0,INE035A01018,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500019,Bank Of Rajasthan Ltd.,BOR,Bank Of Rajasthan Ltd,Delisted,B,10.0,INE320A01014,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500020,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,Active,A,2.0,INE032A01023,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Ltd,Active,B,10.0,INE363A01022,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500024,Assam Company (India) Limited,ASSAMCO,Assam Company India Ltd,Delisted,T,1.0,INE442A01024,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500025,Assambrook Limited,ASSAMBR,Assambrook Ltd,Delisted,X,10.0,INE353C01011,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500027,Atul Limited.,ATUL,Atul Ltd,Active,A,10.0,INE100A01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
